adm2_pcode,adm2_name,adm3_pcode,adm3_name,center_lat,center_lon,area_sqkm
TG0305,Lome Commune,TG030501,Lome Commune,6.15666383,1.24556024,104.57055
TG0516,Tone,TG051606,Lotogou/Warkambou,10.8304695,-0.00793308,122.6384719
TG0516,Tone,TG051607,Louanga,10.889621,0.33237456,65.32923762
TG0101,Blitta,TG010111,M'Poti,8.3045665,0.80184987,264.64134095
TG0515,Tandjoare,TG051509,Mamproug,10.6694205,-0.03167076,99.34828477
TG0513,Kpendjal,TG051303,Mandouri,10.885635,0.80339601,372.9438971
TG0202,Bassar,TG020208,Manga,9.5655165,0.7045408,73.99154392
TG0514,Oti,TG051405,Mango,10.3597985,0.4361702,341.26365717
TG0205,Doufelgou,TG020509,Massedena,9.9713175,1.25455257,89.51140067
TG0308,Zio,TG030814,Mission-Tove,6.300966,1.12641845,56.52374973
TG0519,Oti-Sud,TG051904,Mogou,10.4521835,0.65546863,429.8487155
TG0306,Vo,TG030606,Mome-Hounkpati,6.502912,1.55479811,42.03791153
TG0405,Est-Mono,TG040506,Moretan,8.199399,1.40608624,738.25204025
TG0517,Cinkasse,TG051706,Nadjoundi,10.99867,0.19407213,27.7251985
TG0206,Keran,TG020606,Nadoba,10.140751,1.05556653,200.61413622
TG0514,Oti,TG051406,Nagbeni,10.624315,0.44480919,152.82690267
TG0518,Naki-Ouest,TG051802,Naki-Est,10.727854,0.36684609,267.0533836
TG0516,Tone,TG051608,Naki-Ouest,10.917929,0.06218005,102.61215061
TG0519,Oti-Sud,TG051905,Nali,10.052864,0.49013636,322.81509301
TG0516,Tone,TG051609,Namare,10.9706955,0.07232126,51.67101322
TG0204,Dankpen,TG020407,Namon,9.6956505,0.80803007,141.89661729
TG0518,Naki-Ouest,TG051803,Namoundjoga,10.8984285,0.44563405,197.33483536
TG0204,Dankpen,TG020408,Nampoch,9.8183765,0.66274196,123.24542845
TG0515,Tandjoare,TG051510,Nandoga,10.6344155,0.22949759,47.36131426
TG0204,Dankpen,TG020409,Nandouta,9.5176335,0.39241666,358.47275677
TG0516,Tone,TG051610,Nanergou,10.926721,0.14447621,55.35042773
TG0515,Tandjoare,TG051511,Nano,10.696531,0.09591717,64.05930247
TG0204,Dankpen,TG020410,Natchibore,9.81733,0.78173025,182.02539185
TG0204,Dankpen,TG020411,Natchitikpi,9.724028,0.71328196,127.07827984
TG0516,Tone,TG051611,Natigou,10.987321,0.26402906,23.72926697
TG0204,Dankpen,TG020412,Naware,9.6101805,0.47223812,234.14623215
TG0518,Naki-Ouest,TG051804,Nayega,10.7426595,0.41588119,27.09878879
TG0205,Doufelgou,TG020510,Niamtougou,9.7093655,1.02574452,109.15117224
TG0516,Tone,TG051612,Nioukpourma,10.8380545,0.13685355,75.90694517
TG0301,Ave,TG030106,Noepe,6.277793,1.03944995,37.3412055
