region_nom_bdd,prefecture_nom_bdd,canton_nom_bdd,nb_agences,nb_agents_mobile_money,lon,lat,sans_agence_operateur,rang_desserte_mm,zone_prioritaire,dist_km_agence_plus_proche,dist_km_agent_mm_plus_proche,population_totale,population_masculin,population_feminin,population_method,adm2_name_hdx,adm3_name_hdx,adm3_pcode_hdx,area_sqkm_hdx,densite_pop_par_km2,agences_pour_10k_hab,agents_mm_pour_10k_hab
Kara,Doufelgou,Niamtougou,1.0,65,1.1084151516795198,9.76161051820626,False,326.0,False,0.45,0.14,6433,3105,3328,exact,Doufelgou,Niamtougou,TG020510,109.15117224,58.9,1.55,101.04
Kara,Doufelgou,Siou,0.0,25,1.1977875030257679,9.816986462025099,True,252.0,False,11.38,0.33,8910,4228,4682,exact,Doufelgou,Siou,TG020512,134.27945312,66.4,0.0,28.06
Kara,Doufelgou,Tchoré,0.0,3,1.0232245782478067,9.847118350357748,True,32.0,True,12.55,0.55,3982,1953,2029,exact,Doufelgou,Tchore,TG020513,89.46722407,44.5,0.0,7.53
Kara,Doufelgou,Ténéga,0.0,3,1.1361381305654767,9.815697539456275,True,32.0,True,6.36,0.23,4303,2033,2270,exact,Doufelgou,Tenega,TG020514,19.47327144,221.0,0.0,6.97
Kara,Kozah,Atchangbadè,0.0,25,1.1234403095362266,9.468630817319955,True,252.0,False,11.25,0.94,16876,8223,8653,exact,Kozah,Atchangbade,TG020701,152.07051824,111.0,0.0,14.81
Kara,Kozah,Awandjélo,0.0,22,1.1978353315659092,9.475409285077157,True,237.0,False,8.01,1.42,12147,5969,6178,exact,Kozah,Awandjelo,TG020702,115.51089427,105.2,0.0,18.11
Kara,Kozah,Bohou,0.0,20,1.172415124142947,9.610863678688869,True,225.0,False,7.02,1.51,6739,3261,3478,exact,Kozah,Bohou,TG020703,17.59177619,383.1,0.0,29.68
Kara,Kozah,Commune De Kara,2.0,1257,1.1963854201913071,9.550013170445322,False,373.0,False,0.94,0.01,,,,non_disponible,,,,,,,
Kara,Kozah,Djamdè,0.0,10,1.0375304335406317,9.506915675092992,True,130.0,False,17.04,1.09,3778,1825,1953,exact,Kozah,Djamde,TG020704,157.00643847,24.1,0.0,26.47
Kara,Kozah,Kouméa,0.0,25,1.195031209986969,9.71146801094175,True,252.0,False,11.29,0.91,7489,3562,3927,exact,Kozah,Koumea,TG020705,50.77520106,147.5,0.0,33.38
Kara,Kozah,Kpinzindè,0.0,12,1.2914230729925333,9.493648486990804,True,157.0,False,12.75,0.07,11608,5850,5758,exact,Kozah,Landa-Pozenda/Kpinzinde,TG020708,146.50040617,79.2,0.0,10.34
Kara,Kozah,Landa,0.0,30,1.265842739200241,9.66811420105476,True,279.0,False,15.79,0.29,10176,4883,5293,exact,Kozah,Landa,TG020707,31.89149616,319.1,0.0,29.48
Kara,Kozah,Lassa,0.0,60,1.2266291521265422,9.614458499377019,True,322.0,False,8.45,1.21,12999,6231,6768,exact,Kozah,Lassa,TG020709,67.0008606,194.0,0.0,46.16
Kara,Kozah,Pya,0.0,40,1.1486682725586799,9.661174940950158,True,293.0,False,12.45,0.2,11398,5983,5415,exact,Kozah,Pya,TG020710,54.42732222,209.4,0.0,35.09
Kara,Kozah,Sara-Kawa,0.0,9,1.0015963229062643,9.631211727231907,True,112.0,False,18.96,0.5,6049,2902,3147,fuzzy,Kozah,Sarakawa,TG020711,87.90679517,68.8,0.0,14.88
Kara,Kozah,Soumdina,0.0,19,1.2532058735752052,9.64235310552299,True,222.0,False,12.64,0.02,9274,4338,4936,exact,Kozah,Somdina,TG020712,46.91911379,197.7,0.0,20.49
Kara,Kozah,Tcharè,0.0,8,1.181923199351366,9.659588973288294,True,99.0,False,12.27,0.22,2301,1115,1186,exact,Kozah,Tchare,TG020713,6.9887057,329.2,0.0,34.77
