FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,operateur,geometry
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5035,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1722700000000001 9.580906666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5034,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0463083333333332 9.952468333333334)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5033,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.047180156966969 9.946920305785376)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5032,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0466116666666667 9.950436666666667)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5031,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0441583333333333 9.94894)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5030,Kara,Kéran,Kéran 1,Kantè,"Moov, Togocom",POINT (1.0442600000000002 9.949023333333335)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502f,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.557907005711891 6.225539178827539)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502e,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.5042656820241402 6.213119592113391)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502d,Kara,Kozah,Kozah 1,Lassa,Togocom,POINT (1.2316500000000001 9.579998333333332)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502c,Maritime,Lacs,Lacs 3,Agbodrafo,"Moov, Togocom",POINT (1.4968800000000002 6.217058333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502b,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.2078166666666665 9.553743333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-502a,Kara,Kozah,Kozah 1,Commune De Kara,"Moov, Togocom",POINT (1.1973230676077806 9.545370011629736)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5029,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.62267955050592 6.239966152725259)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5028,Kara,Kéran,Kéran 1,Kantè,Togocom,POINT (1.0415083333333333 9.945616666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5027,Kara,Kéran,Kéran 1,Kantè,Nsp,POINT (1.0323783333333334 9.934921666666666)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5026,Maritime,Lacs,Lacs 2,Aklakou,Moov,POINT (1.707358333333333 6.347013333333333)
_mview_tel_agents_mobile_money.fid-1905e7b9_1a087e03512_-5025,Maritime,Lacs,Lacs 1,Canton D’Aneho,"Moov, Togocom",POINT (1.6266534812091271 6.240751322704653)
