prefecture_pdf,canton_pdf,masculin,feminin,population_totale,adm2_name,adm3_name,adm3_pcode,center_lat,center_lon,area_sqkm,method
Amou,OKPAHOE,595,652,1247,Amou,Okpahoe,TG040110,7.6196775,1.01006244,15.17900617,exact_pref
Amou,OTADI,2731,2690,5421,Amou,Otadi,TG040111,7.720024,0.93864852,347.17736351,exact_pref
Amou,GAME,3693,3684,7377,Amou,Game,TG040106,7.771153,1.06801705,340.84807436,exact_pref
Amou,AVEDJE-ITADI,1533,1583,3116,Amou,Avedje,TG040103,7.421693,1.12995886,39.13009357,fuzzy
Amou,TEMEDJA,4423,4603,9026,Amou,Temedja,TG040114,7.463156,1.067738,82.67910836,exact_pref
Amou,EVOU,2403,2490,4893,Amou,Evou,TG040105,7.524058,1.02273753,39.9581071,exact_pref
Anié,ANIE,38841,39614,78455,Anie,Anie,TG041102,7.7804875,1.15344413,241.98242515,exact_pref
Anié,PALLAKOKO,3722,3650,7372,Anie,Pallakoko,TG041106,7.874308,1.11580057,139.15033139,exact_pref
Anié,KOLO-KOPE,7569,7349,14918,Anie,Kolokope,TG041105,7.765361,1.29423019,224.20016547,fuzzy
Anié,ADOGBENOU,19214,18784,37998,Anie,Adogbenou,TG041101,7.8131105,1.51940213,639.90896865,exact_pref
Anié,GLITTO,11465,11950,23415,Anie,Glitto,TG041104,7.6021915,1.56282627,329.67837578,exact_pref
Anié,ATCHINEDJI,9086,8914,18000,Anie,Atchinedji,TG041103,7.579525,1.38843077,411.05115216,exact_pref
Est-Mono,ELAVAGNON,12552,12464,25016,Est-Mono,Elavagnon,TG040502,7.951309,1.34260311,289.61591573,exact_pref
Est-Mono,GBADJAHE,4882,4754,9636,Est-Mono,Gbadjahe,TG040503,7.8529635,1.34766003,164.63660748,exact_pref
Est-Mono,MORETAN,25126,24169,49295,Est-Mono,Moretan,TG040506,8.199399,1.40608624,738.25204025,exact_pref
Est-Mono,BADIN,13681,13198,26879,Est-Mono,Badin,TG040501,8.2542835,1.54327141,495.51673394,exact_pref
Est-Mono,KAMINA,13081,12611,25692,Est-Mono,Kamina,TG040504,8.101369,1.56810809,581.69319712,exact_pref
Est-Mono,NYAMASSILA,7961,8071,16032,Est-Mono,Nyamassila,TG040507,7.9645215,1.20081982,140.46322381,exact_pref
Est-Mono,KPESSI,6046,5864,11910,Est-Mono,Kpessi,TG040505,8.1172915,1.30250948,242.47174788,exact_pref
Tchaoudjo,KOMAH,45650,45956,91606,Tchaoudjo,Komah,TG010506,8.996462,1.16250722,95.50859639,exact_pref
Tchaoudjo,KPARATAO,8332,8256,16588,Tchaoudjo,Kparatao,TG010508,8.9493685,1.24270111,142.0433809,exact_pref
Tchaoudjo,KADAMBARA,11637,11889,23526,Tchaoudjo,Kadambara,TG010503,8.8192765,1.24475762,323.92108263,exact_pref
Tchaoudjo,TCHALO,4393,4478,8871,Tchaoudjo,Tchalo,TG010511,8.967909,0.99545442,217.53714626,exact_pref
Tchaoudjo,KPANGALAM,18218,18897,37115,Tchaoudjo,Kpangalam,TG010507,9.0958355,1.03940413,284.18731645,exact_pref
Tchaoudjo,LAMA-TESSI,12303,12588,24891,Tchaoudjo,Lama-Tessi,TG010510,8.870509,1.08031773,469.86990034,exact_pref
Tchaoudjo,ALEHERIDE,2976,3147,6123,Tchaoudjo,Aleheride/Amaide,TG010502,9.155504,1.15884192,243.50860851,fuzzy
Tchaoudjo,AMAIDE,2138,2200,4338,Tchaoudjo,Aleheride/Amaide,TG010502,9.155504,1.15884192,243.50860851,fuzzy
Tchaoudjo,KEMENI,1460,1416,2876,Tchaoudjo,Kemeni,TG010504,9.1958185,1.2783,117.16222311,exact_pref
Tchaoudjo,KOLINA,2043,2104,4147,Tchaoudjo,Kolina,TG010505,9.0832715,1.17894132,110.34050447,exact_pref
Tchaoudjo,AGOULOU,6788,6926,13714,Tchaoudjo,Agoulou,TG010501,9.1922095,1.36480593,264.11904013,exact_pref
Tchaoudjo,KPASSOUADE,1691,1777,3468,Tchaoudjo,Kpassouade,TG010509,9.039479,1.31353781,80.89558582,exact_pref
Tchaoudjo,WASSARABO,1497,1600,3097,Tchaoudjo,Wassarabo,TG010512,9.003732,1.26140535,46.54084623,exact_pref
Tchamba,TCHAMBA,24189,24203,48392,Tchamba,Tchamba,TG010410,8.992314,1.45483781,285.42107839,exact_pref
Tchamba,ALIBI,5253,5071,10324,Tchamba,Alibi,TG010402,8.8126545,1.36419547,538.54306576,exact_pref
Tchamba,LARNI,3576,3537,7113,Tchamba,Larni,TG010409,9.086152,1.42174337,75.47808576,exact_pref
Tchamba,KRI-KRI (ADJEIDE),3660,3699,7359,Tchamba,Kri-Kri,TG010408,9.2061325,1.45717845,137.52206254,fuzzy
Tchamba,AFFEM,4598,4665,9263,Tchamba,Affem,TG010401,9.122283,1.520651,163.54681059,exact_pref
Tchamba,KOUSSOUNTOU,14294,14049,28343,Tchamba,Koussountou,TG010407,8.8473625,1.49189538,470.07729505,exact_pref
Tchamba,BAGO,18745,17842,36587,Tchamba,Bago,TG010403,8.4394075,1.35288278,367.14003544,exact_pref
Tchamba,KABOLI,15113,15462,30575,Tchamba,Kaboli,TG010406,8.5985825,1.35914417,935.54111888,exact_pref
Tchamba,GOUBI,5514,5331,10845,Tchamba,Goubi,TG010405,8.6302145,1.50340079,154.33528576,exact_pref
Tchamba,BALANKA,6038,5746,11784,Tchamba,Balanka,TG010404,8.8621745,1.60037407,69.73358672,exact_pref
Blitta,BLITTA-GARE,6998,7069,14067,Blitta,Blitta-Gare,TG010104,8.3300805,0.97934442,107.69203187,exact_pref
Blitta,BLITTA VILLAGE,5268,5526,10794,Blitta,Blitta Village,TG010103,8.3272415,1.02893618,62.74797698,exact_pref
Blitta,YALOUMBE,3111,3142,6253,Blitta,Yaloumbe,TG010120,8.3333705,1.09352962,79.87229037,exact_pref
Blitta,TCHALOUDE,4886,4866,9752,Blitta,Tchaloude,TG010114,8.3156445,1.15149277,99.71995109,exact_pref
Blitta,WARAGNI,2401,2555,4956,Blitta,Waragni,TG010118,8.2521635,1.00891483,42.96547975,exact_pref
